 TOPAZ SOFTWARE: TOPOGRAPHIC PARAMETERIZATION SOFTWARE SYSTEM
 PROGRAM RASBIN: RASTER-TO-BINARY TRANSFORMATION PROGRAM
                 VERSION 3.10, APRIL 1999
 
 J. GARBRECHT, USDA-ARS, EL RENO, OKLAHOMA, USA.
 L. MARTZ, UNIVERSITY OF SASKATCHEWAN, SASKATOON, CANADA.
 J. CAMPBELL, USDA-ARS, EL RENO, OKLAHOMA, USA.
 
 
 TITLE OF CURRENT TOPAZ APPLICATION:
 
  DATE: 23 AUGUST 1999        DEDNM VERSION 3.1
  APPLICATION FOR TESTING AND VERIFICATION; INPUT FILE "VARIABLE".
  TESTING AND CALIBRATION.
 
 
 
 TABLE OF BINARY-NETWORK CHANNEL LINK INFORMATION AS COMPUTED BY PROGRAM RASBIN
 
 
 
  NODE  STRAHLER NODE EXECUTION INFLOWS   NEXT NODE   TERRAIN    CHANNEL      DRAINAGE AREA        SLOPE * 1000
 INDEX   ORDER   CODE SEQUENCE   INDEX   DOWNSTREAM  ELEVATION   LENGTH    UPSTREAM     DIRECT
                                1     2    INDEX        [M]       [M]         [HA]        [HA]    DIRECT   SMOOTHED
----------------------------------------------------------------------------------------------------------------------
   1       2      3      4      5     6      7           8         9           10          11        12        13
----------------------------------------------------------------------------------------------------------------------
 
    1      3      2      20      2    -1      -1         1.0         -1.       54.990     -1.000    -1.000    -1.000
    2      3      3      19      3     4       1         1.0        120.       53.010      1.980    -1.000    -1.000
    3      1      1      18     -1    -1       2         9.0        402.        0.990      5.040    -1.000    -1.000
    4      3      3      17      5     6       2         1.0         60.       46.260      0.720    -1.000    -1.000
    5      1      1      16     -1    -1       4         2.0        342.        1.440      3.060    -1.000    -1.000
    6      3      3      15      7    14       4         2.0         30.       41.490      0.270    -1.000    -1.000
    7      2      3      14      8    13       6         2.0         30.       21.060      0.180    -1.000    -1.000
    8      2      3      12      9    12       7         3.0        242.       13.950      2.520    -1.000    -1.000
    9      2      3      10     10    11       8         3.0        180.        8.910      2.970    -1.000    -1.000
   10      1      1       8     -1    -1       9         4.0        210.        1.080      3.870    -1.000    -1.000
   11      1      1       9     -1    -1       9         4.0        162.        2.160      1.800    -1.000    -1.000
   12      1      1      11     -1    -1       8         3.0         42.        1.980      0.090    -1.000    -1.000
   13      1      1      13     -1    -1       7         2.0        300.        1.440      3.150    -1.000    -1.000
   14      3      3       7     15    18       6         2.0        170.       17.100      3.150    -1.000    -1.000
   15      2      3       3     16    17      14         3.0        255.        5.940      2.880    -1.000    -1.000
   16      1      1       1     -1    -1      15         4.0        272.        0.990      2.340    -1.000    -1.000
   17      1      1       2     -1    -1      15         4.0        170.        1.080      1.530    -1.000    -1.000
   18      2      3       6     19    20      14         3.0        240.        5.310      2.970    -1.000    -1.000
   19      1      1       4     -1    -1      18         4.0         72.        1.440      0.360    -1.000    -1.000
   20      1      1       5     -1    -1      18         4.0        180.        1.620      1.890    -1.000    -1.000
 
 ** NOTES **
 
 - COLUMNS 1 THROUGH 11 ARE COMPUTED BY PROGRAM RASBIN
   COLUMNS 12 AND 13 ARE COMPUTED BY PROGRAM PARAM.
 
 - THE FIRST LINE OF DATA DOES NOT REPRESENT A CHANNEL LINK.  IT REPRESENTS
   THE WATERSHED OUTLET NODE.
 
 - THE UPSTREAM AREA INTO FIRST ORDER CHANNELS IS THE SOURCE INFLOW.
   IN THE ABOVE TABLE THE SOURCE INFLOW IS NOT INCLUDED IN THE DIRECT DRAINAGE
   AREA OF THE FIRST ORDER CHANNELS.
 
